title,company,location,type,url
Senior Marketing Operations Manager [Maternity Cover],Pleo Technologies,London,Full-time,https://thehub.io/jobs/67e5ea1ec73d022fd2de2577
Mid-level Frontend Developer,Relesys,Kaunas,Full-time,https://thehub.io/jobs/67a69ea2d155368987c27bfd
Digital Designer (mid-level),Synthesia,London,Full-time,https://thehub.io/jobs/67be5d1725aca324d5c1a3d2
Account Manager (m/w/d),No Isolation,Remote,Full-time,https://thehub.io/jobs/67e3443ac73d022fd2ca1211
Senior PHP Developer,Centra,Remote,Full-time,https://thehub.io/jobs/67dcaca2c73d022fd29821e7
Frontend Software Engineer - AI Tooling,Veo Technologies,Berlin,Full-time,https://thehub.io/jobs/679ac80b4b50cc4a95dda764
Lead Product Manager-(Data & AI/ML),Minna Technologies,London,Full-time,https://thehub.io/jobs/67e5e6c2c73d022fd2ddd58b
"Marketing, Intern (EN)",Tonsser,London,Internship,https://thehub.io/jobs/65d4d2ced8919662fdbc4da6
Sales Lead Benelux,Kanpla,Amsterdam,Full-time,https://thehub.io/jobs/67c7238b2b88ff09431b245a
Key Account Store Operations Specialist,Too Good To Go,Copenhagen,Full-time,https://thehub.io/jobs/67c1006568babbd99e420db9
Account Manager (m/w/d),No Isolation,Remote,Full-time,https://thehub.io/jobs/67e343e5c73d022fd2c9fd2e
Product Designer,Synthesia,London,Full-time,https://thehub.io/jobs/67a15c162567ad7fc61ddf23
Lead Writer,Synthesia,London,Full-time,https://thehub.io/jobs/67d3751ca09474de7c500ab3
Lead Copywriter,Synthesia,London,Full-time,https://thehub.io/jobs/671ae313f7fd62f5a3a24a22
Operations & Growth Lead,Venuu,Barcelona,Full-time,https://thehub.io/jobs/67dd4c9ba61b0d2fb71e5697
"Senior MarTech Solutions Engineer - French, Spanish or German speaking",Supermetrics,Dublin,Full-time,https://thehub.io/jobs/67d37511a09474de7c500354
Account Manager (m/w/d),No Isolation,Remote,Full-time,https://thehub.io/jobs/67e343e5c73d022fd2c9fd25
Brand Marketing Specialist,Lenus,Hamburg,Full-time,https://thehub.io/jobs/67b9170a25aca324d599b188
Sales Development Manager - London,Synthesia,London,Full-time,https://thehub.io/jobs/67db5e1fc73d022fd28e4726
Head of Customer Success,Synthesia,London,Full-time,https://thehub.io/jobs/679038971f3c49745560750f
Logistics Coordinator,Too Good To Go,Vienna,Full-time,https://thehub.io/jobs/67d4c6e7a09474de7c5a1601
Senior Account Executive (Benelux),Kanpla,Amsterdam,Full-time,https://thehub.io/jobs/67c71b2e2b88ff094319e3c0
Junior Operations Analyst,Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/67c797a1f3dc89092b865f06
Lead Backend Engineer (PHP),Supermetrics,London,Full-time,https://thehub.io/jobs/67b27f9525aca324d5686b44
Tour guides for Edinburgh - Part time freelance,Amitylux,Edinburgh,Freelance,https://thehub.io/jobs/67cb18802b88ff0943a8cc10
Performance Marketing Specialist,Lenus,Madrid,Full-time,https://thehub.io/jobs/67884f8c3ea3231e2bc0ec83
Account Executive Central & Eastern Europe,Supermetrics,Dublin,Full-time,https://thehub.io/jobs/67de0112c73d022fd2a23d9b
Global Procurement Specialist,Too Good To Go,Warsaw,Full-time,https://thehub.io/jobs/67cf80dfa09474de7c323088
Senior Full Stack Engineer,Synthesia,London,Full-time,https://thehub.io/jobs/67e1f598c73d022fd2c02c39
Presales Solution Engineer,Pleo Technologies,London,Full-time,https://thehub.io/jobs/67e5ea1ec73d022fd2de2581
Post-Production Operator (mid-level),Synthesia,London,Full-time,https://thehub.io/jobs/67c251a168babbd99e4bde3b
B2C Marketing Intern,Too Good To Go,Madrid,Internship,https://thehub.io/jobs/67e3475dc73d022fd2ca455f
"Business Development Manager - Lecce, Italy",Superb,Italy,Full-time,https://thehub.io/jobs/676210ceb5df42e35e0c30fb
Brand Communications Designer,Synthesia,London,Full-time,https://thehub.io/jobs/67d4c699a09474de7c59fb1f
Performance Marketer - España,Draivi,Barcelona,Full-time,https://thehub.io/jobs/67e343cdc73d022fd2c9f022
"Business Development Manager - Bari, Italy",Superb,Bari,Full-time,https://thehub.io/jobs/676210ceb5df42e35e0c30f5
Head of Key Accounts Österreich und Schweiz (w/m/d),Too Good To Go,Vienna,Full-time,https://thehub.io/jobs/67e498e5c73d022fd2d43a4a
